Page,Total
"/2015/09/15/what-opportunities-does-devops-bring-for-companies-building-their-own-custom-apps",28
"/2015/09/28/how-a-lean-approach-can-help-deliver-it-that-matters-to-the-business",22
"/2020/12/13/a-serverless-first-approach-to-multicloud-with-aws",23
"/2026/01/18/the-infinite-product-manager-principles-for-the-long-game",17
"/2026/01/05/the-holiday-when-software-engineering-changed-forever",10
"/2023/01/02/i-created-my-own-blog-platform-with-next-js-github-issues-and-openai-in-2-days",3
"/2023/12/16/the-job-of-product-managers-is-to-kill-their-jobs",2
"/2007/12/06/knowledge-management-and-web-2-0-what-a-nice-post",1
"/2018/06/11/ux-apis-they-call-it-backend-for-frontend",1
"/2019/09/09/i-stopped-saying-sorry-if-this-is-too-technical",1
"/2022/01/16/the-future-of-cloud-computing-is-developer-experience",1
"/2022/12/08/what-s-next-after-serverless",1
"/2023/01/07/the-engineering-behind-octotype-github-issues-as-cms-next-js-and-8-times-openai-saved-me",1
"/2023/03/22/it-s-time-to-rename-serverless",1
"/2024/01/21/experimenting-with-every-next-js-14-rendering-option-from-ssg-to-partial-pre-rendering",2
"/2026/02/18/constraint-oriented-architectures",1
